variant,basket,group,method,from,to,cum
deep,exsh,K1,lasp_lag2,2019-12-01,2026-07-01,27.807985170259887
deep,exsh,K1,lasp_lag1,2014-12-01,2019-12-01,5.049156458782034
deep,exsh,K1,lasp_lag1,2019-12-01,2024-12-01,21.534969335929468
deep,exsh,K1,lasp_lag1,2019-12-01,2026-07-01,NA
deep,exsh,K1,lasp_lag0,2014-12-01,2019-12-01,4.633262413208472
deep,exsh,K1,lasp_lag0,2019-12-01,2024-12-01,21.173651342218335
deep,exsh,K1,lasp_lag0,2019-12-01,2026-07-01,NA
deep,exsh,K1,tornqvist,2014-12-01,2019-12-01,4.447643124503409
deep,exsh,K1,tornqvist,2019-12-01,2024-12-01,20.759575110937732
deep,exsh,K1,tornqvist,2019-12-01,2026-07-01,NA
deep,exsh,K1,tornqvist_ext,2014-12-01,2019-12-01,4.447643124503409
deep,exsh,K1,tornqvist_ext,2019-12-01,2024-12-01,20.759575110937732
deep,exsh,K1,tornqvist_ext,2019-12-01,2026-07-01,27.552628627836317
deep,exsh,K1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,2.9434103546253976
deep,exsh,K1,annual_avg_tornqvist,2014-07-01,2019-07-01,2.623019805900473
deep,exsh,K1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.9781270457446
deep,exsh,K1,annual_avg_tornqvist,2019-07-01,2024-07-01,21.010120213511296
deep,exsh,10,lasp_lag2,2014-12-01,2019-12-01,5.311441828538488
deep,exsh,10,lasp_lag2,2019-12-01,2024-12-01,21.327424348106128
deep,exsh,10,lasp_lag2,2019-12-01,2026-07-01,28.389651909373125
deep,exsh,10,lasp_lag1,2014-12-01,2019-12-01,5.217784994985775
deep,exsh,10,lasp_lag1,2019-12-01,2024-12-01,21.241822450169103
deep,exsh,10,lasp_lag1,2019-12-01,2026-07-01,NA
deep,exsh,10,lasp_lag0,2014-12-01,2019-12-01,4.7889095710852425
deep,exsh,10,lasp_lag0,2019-12-01,2024-12-01,21.155222948923445
deep,exsh,10,lasp_lag0,2019-12-01,2026-07-01,NA
deep,exsh,10,tornqvist,2014-12-01,2019-12-01,4.596154285819609
deep,exsh,10,tornqvist,2019-12-01,2024-12-01,20.6265019729458
deep,exsh,10,tornqvist,2019-12-01,2026-07-01,NA
deep,exsh,10,tornqvist_ext,2014-12-01,2019-12-01,4.596154285819609
deep,exsh,10,tornqvist_ext,2019-12-01,2024-12-01,20.6265019729458
deep,exsh,10,tornqvist_ext,2019-12-01,2026-07-01,27.48838522651138
deep,exsh,10,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.1971399829058056
deep,exsh,10,annual_avg_tornqvist,2014-07-01,2019-07-01,2.6956302815146493
deep,exsh,10,annual_avg_lasp_lag2,2019-07-01,2024-07-01,21.53561180122663
deep,exsh,10,annual_avg_tornqvist,2019-07-01,2024-07-01,21.105365452693924
deep,exsh,01,lasp_lag2,2014-12-01,2019-12-01,5.207896117404975
deep,exsh,01,lasp_lag2,2019-12-01,2024-12-01,20.87509289755969
deep,exsh,01,lasp_lag2,2019-12-01,2026-07-01,27.80934461691502
deep,exsh,01,lasp_lag1,2014-12-01,2019-12-01,5.182718376226481
deep,exsh,01,lasp_lag1,2019-12-01,2024-12-01,21.174255846472747
deep,exsh,01,lasp_lag1,2019-12-01,2026-07-01,NA
deep,exsh,01,lasp_lag0,2014-12-01,2019-12-01,4.741232195400125
deep,exsh,01,lasp_lag0,2019-12-01,2024-12-01,20.846352844843153
deep,exsh,01,lasp_lag0,2019-12-01,2026-07-01,NA
deep,exsh,01,tornqvist,2014-12-01,2019-12-01,4.562781946209649
deep,exsh,01,tornqvist,2019-12-01,2024-12-01,20.43230730801353
deep,exsh,01,tornqvist,2019-12-01,2026-07-01,NA
deep,exsh,01,tornqvist_ext,2014-12-01,2019-12-01,4.562781946209649
deep,exsh,01,tornqvist_ext,2019-12-01,2024-12-01,20.43230730801353
